target_overall_rating,prop_size_sqft,prop_type_house,prop_type_apartment,prop_type_office,prop_latitude,prop_longitude,prop_total_jobs,prop_eco_friendly,prop_pet_present,cleaner_total_jobs,cleaner_avg_rating,cleaner_rating_trend,cleaner_experience_years,cleaner_spec_house,cleaner_spec_apartment,cleaner_spec_office,cleaner_avg_job_value,cleaner_completion_rate,cleaner_avg_bid_amount,cleaner_client_retention,hist_previous_jobs,hist_avg_rating,hist_days_since_last,hist_prop_type_match,hist_price_compatibility,hist_client_avg_rating,hist_client_total_jobs,hist_rebooking_indicator,hist_has_communication,hist_issue_resolution_rate,ctx_urgency_days,ctx_price_low,ctx_price_medium,ctx_price_high,ctx_service_complexity,ctx_season_sin,ctx_season_cos,ctx_is_weekend,ctx_client_tenure_days,rating_quality,rating_communication,rating_timeliness,rating_professionalism,meta_job_id,meta_client_id,meta_cleaner_id,meta_property_id,meta_scheduled_date,meta_review_id
9.0,1313.0,0,1,0,38.06454704,23.59289315,4,0,0,15,9.4,0.0,-0.4,0.2,0.4,0.4,313.6666666666667,0.8823529411764706,0.0,0.06666666666666665,0,0.0,9999,0.0,0.5,7.0,3,0,1,1.0,-146,0,1,0,0.22,1.2246467991473532e-16,-1.0,1,-146,9.0,9.0,7.0,8.0,124,1480,1210,440,2025-06-15,90
7.0,2412.0,1,0,0,37.97729602,23.73973038,6,0,0,20,7.1,0.3000000000000007,-0.3315068493150685,0.25,0.4,0.35,118.25,0.8,0.0,0.050000000000000044,0,0.0,9999,0.0,0.5,6.333333333333333,5,0,1,1.0,-121,0,0,1,0.21,-0.4999999999999997,-0.8660254037844388,0,-121,8.0,8.0,8.0,6.0,125,1386,1274,313,2025-07-10,91
8.0,2286.0,1,0,0,37.97625624,23.65140401,7,0,0,11,7.090909090909091,0.009090909090908816,-0.6657534246575343,0.18181818181818182,0.45454545454545453,0.36363636363636365,133.1818181818182,0.9166666666666666,0.0,0.0,0,0.0,9999,0.0,0.5,8.0,2,0,1,1.0,-243,0,0,1,0.21,1.0,6.123233995736766e-17,0,-243,8.0,7.0,8.0,8.0,126,1677,1139,699,2025-03-10,92
6.0,977.0,0,1,0,37.84868962,23.73799123,12,0,0,53,6.037735849056604,-0.13773584905660385,0.0,0.32075471698113206,0.41509433962264153,0.2641509433962264,72.16981132075472,0.8833333333333333,0.0,0.05660377358490565,0,0.0,9999,0.0,0.5,6.4,12,0,1,1.0,0,1,0,0,0.245,-0.5000000000000004,0.8660254037844384,1,0,6.0,5.0,5.0,5.0,127,1411,1233,348,2025-11-08,93
7.0,631.0,0,1,0,38.12727004,23.74794487,6,0,0,29,8.03448275862069,-0.13448275862069003,-0.16164383561643836,0.27586206896551724,0.3103448275862069,0.41379310344827586,160.17241379310346,0.90625,0.0,0.0,0,0.0,9999,0.0,0.5,7.833333333333333,7,0,1,1.0,-59,1,0,0,0.215,-1.0,-1.8369701987210297e-16,0,-59,6.0,8.0,6.0,6.0,128,1530,1154,507,2025-09-10,94
9.0,559.0,0,1,0,37.87286548,23.60108149,10,0,0,18,9.444444444444445,-0.04444444444444429,-0.27123287671232876,0.3888888888888889,0.3333333333333333,0.2777777777777778,285.8333333333333,0.8571428571428571,0.0,0.05555555555555558,0,0.0,9999,0.0,0.5,8.571428571428571,9,0,1,1.0,-99,1,0,0,0.215,-0.8660254037844384,-0.5000000000000004,0,-99,9.0,10.0,10.0,9.0,129,1631,1172,640,2025-08-01,95
7.0,3813.0,0,0,1,38.11676752,23.68432919,6,0,0,28,7.0,0.0,-0.024657534246575342,0.25,0.2857142857142857,0.4642857142857143,141.78571428571428,0.8,185.0,0.0357142857142857,0,0.0,9999,0.0,0.5,6.75,13,0,1,1.0,-9,0,0,1,0.25,-0.8660254037844386,0.5000000000000001,0,-9,8.0,8.0,6.0,6.0,130,1645,1274,658,2025-10-30,96
10.0,2473.0,1,0,0,37.97694237,23.64725387,11,0,0,1,10.0,0.0,-0.8821917808219178,1.0,0.0,0.0,330.0,0.5,150.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-322,0,0,1,0.2,-2.4492935982947064e-16,1.0,1,-322,10.0,9.0,8.0,9.0,131,1360,1122,282,2024-12-21,97
7.0,2499.0,1,0,0,38.0923923,23.58447897,5,0,0,6,7.166666666666667,0.0,-0.6082191780821918,0.3333333333333333,0.3333333333333333,0.3333333333333333,190.83333333333334,0.8571428571428571,0.0,0.0,0,0.0,9999,0.0,0.5,6.8,8,0,1,1.0,-222,0,0,1,0.21,1.0,6.123233995736766e-17,0,-222,7.0,8.0,5.0,7.0,132,1764,1282,817,2025-03-31,98
9.0,497.0,0,1,0,38.08591415,23.73825021,13,0,0,21,8.19047619047619,0.10952380952381091,-0.25205479452054796,0.3333333333333333,0.19047619047619047,0.47619047619047616,209.04761904761904,0.84,235.0,0.0,0,0.0,9999,0.0,0.5,7.666666666666667,11,0,1,1.0,-92,1,0,0,0.215,-0.8660254037844384,-0.5000000000000004,0,-92,9.0,10.0,9.0,9.0,133,1660,1308,679,2025-08-08,99
8.0,921.0,1,0,0,38.10920602,23.84691958,2,0,0,0,0.0,0.0,-0.9698630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-354,0,1,0,0.21,-0.5000000000000004,0.8660254037844384,0,-354,7.0,7.0,6.0,7.0,134,1737,1306,782,2024-11-19,100
5.0,1962.0,1,0,0,37.85801678,23.5796672,12,0,0,1,6.0,0.0,-0.9698630136986301,1.0,0.0,0.0,95.0,0.5,0.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-354,0,0,1,0.21,-0.5000000000000004,0.8660254037844384,0,-354,5.0,4.0,5.0,6.0,135,1570,1145,558,2024-11-19,101
10.0,1364.0,0,1,0,37.93678141,23.81878423,6,0,0,23,9.478260869565217,0.1217391304347828,-0.09041095890410959,0.391304347826087,0.2608695652173913,0.34782608695652173,318.69565217391306,0.8214285714285714,420.0,0.0,0,0.0,9999,0.0,0.5,8.833333333333334,7,0,1,1.0,-33,0,1,0,0.23,-0.8660254037844386,0.5000000000000001,0,-33,9.0,10.0,10.0,10.0,136,1453,1188,402,2025-10-06,102
7.0,1864.0,1,0,0,38.0039755,23.84698458,10,0,0,30,6.266666666666667,-0.16666666666666696,-0.14794520547945206,0.3,0.3,0.4,107.83333333333333,0.8333333333333334,15.0,0.06666666666666665,0,0.0,9999,0.0,0.5,6.777777777777778,12,0,1,1.0,-54,0,1,0,0.2,-1.0,-1.8369701987210297e-16,0,-54,6.0,8.0,5.0,8.0,137,1602,1271,600,2025-09-15,103
7.0,2356.0,0,0,1,38.07817223,23.64420735,3,0,0,9,7.111111111111111,0.0,-0.7643835616438356,0.4444444444444444,0.4444444444444444,0.1111111111111111,69.44444444444444,0.75,0.0,0.0,0,0.0,9999,0.0,0.5,6.0,4,0,1,1.0,-279,0,0,1,0.205,0.8660254037844386,0.5000000000000001,1,-279,8.0,7.0,6.0,6.0,138,1630,1206,639,2025-02-02,104
7.0,842.0,0,1,0,37.98291633,23.64879267,11,0,0,0,0.0,0.0,-0.9945205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-363,1,0,0,0.245,-0.5000000000000004,0.8660254037844384,1,-363,8.0,8.0,6.0,8.0,139,1501,1227,466,2024-11-10,105
6.0,826.0,0,1,0,37.89355396,23.79809683,4,0,0,2,6.5,0.0,-0.6794520547945205,0.5,0.5,0.0,150.0,0.5,15.0,0.0,0,0.0,9999,0.0,0.5,8.0,2,0,1,1.0,-248,1,0,0,0.215,1.0,6.123233995736766e-17,0,-248,7.0,7.0,6.0,6.0,140,1416,1143,354,2025-03-05,106
9.0,1397.0,1,0,0,38.05181242,23.63430895,4,0,0,1,9.0,0.0,-0.7178082191780822,0.0,0.0,1.0,615.0,0.5,0.0,0.0,0,0.0,9999,0.0,0.5,6.0,3,0,1,1.0,-262,0,1,0,0.25,0.8660254037844386,0.5000000000000001,0,-262,9.0,8.0,9.0,9.0,141,1691,1208,718,2025-02-19,107
6.0,2029.0,1,0,0,37.90115607,23.81486586,7,0,0,18,7.333333333333333,-0.33333333333333304,-0.03561643835616438,0.4444444444444444,0.16666666666666666,0.3888888888888889,181.94444444444446,0.9,0.0,0.0,0,0.0,9999,0.0,0.5,7.0,7,0,1,1.0,-13,0,0,1,0.25,-0.8660254037844386,0.5000000000000001,1,-13,6.0,5.0,4.0,7.0,143,1618,1268,623,2025-10-26,108
6.0,1297.0,0,1,0,37.88220003,23.79536274,7,0,0,5,7.4,0.0,-0.852054794520548,0.2,0.4,0.4,148.0,0.8333333333333334,45.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-311,0,1,0,0.25,0.49999999999999994,0.8660254037844387,0,-311,5.0,5.0,6.0,6.0,144,1725,1198,766,2025-01-01,109
10.0,1692.0,1,0,0,37.95739835,23.85377221,10,0,0,29,9.586206896551724,0.11379310344827509,-0.049315068493150684,0.27586206896551724,0.5862068965517241,0.13793103448275862,218.79310344827587,0.8055555555555556,0.0,0.06896551724137934,0,0.0,9999,0.0,0.5,7.666666666666667,12,0,1,1.0,-18,0,0,1,0.2,-0.8660254037844386,0.5000000000000001,0,-18,9.0,10.0,10.0,10.0,145,1627,1187,634,2025-10-21,110
6.0,799.0,0,0,1,38.12052557,23.71962745,9,0,0,6,6.833333333333333,0.0,-0.8465753424657534,0.16666666666666666,0.5,0.3333333333333333,41.666666666666664,0.8571428571428571,0.0,0.0,0,0.0,9999,0.0,0.5,7.5,1,0,1,1.0,-309,1,0,0,0.215,0.49999999999999994,0.8660254037844387,0,-309,5.0,5.0,4.0,7.0,146,1810,1311,886,2025-01-03,111
5.0,1454.0,0,0,1,38.06069202,23.61169002,6,0,0,29,5.827586206896552,0.07241379310344875,-0.2958904109589041,0.3793103448275862,0.3448275862068966,0.27586206896551724,102.58620689655173,0.8529411764705882,35.0,0.06896551724137934,0,0.0,9999,0.0,0.5,6.8,7,0,1,1.0,-108,1,0,0,0.205,-0.4999999999999997,-0.8660254037844388,0,-108,5.0,4.0,5.0,5.0,147,1629,1310,636,2025-07-23,112
5.0,799.0,0,0,1,38.12052557,23.71962745,9,0,0,28,5.892857142857143,0.0071428571428571175,-0.29863013698630136,0.14285714285714285,0.35714285714285715,0.5,118.57142857142857,0.875,170.0,0.0714285714285714,0,0.0,9999,0.0,0.5,6.714285714285714,8,0,1,1.0,-109,1,0,0,0.215,-0.4999999999999997,-0.8660254037844388,0,-109,4.0,5.0,6.0,5.0,148,1810,1145,886,2025-07-22,113
9.0,2840.0,1,0,0,37.90152228,23.70493156,1,0,0,30,9.6,0.09999999999999964,-0.04657534246575343,0.3,0.5666666666666667,0.13333333333333333,222.0,0.8108108108108109,315.0,0.06666666666666665,1,9.0,230,0.0,0.0,8.6,7,1,1,1.0,-17,0,0,1,0.21,-0.8660254037844386,0.5000000000000001,0,-17,10.0,9.0,9.0,9.0,149,1529,1187,505,2025-10-22,114
7.0,2736.0,0,0,1,37.98353303,23.8069451,7,0,0,6,7.0,0.0,-0.8849315068493151,0.5,0.3333333333333333,0.16666666666666666,107.5,0.8571428571428571,297.5,0.0,0,0.0,9999,0.0,0.5,7.0,2,0,1,1.0,-323,0,0,1,0.205,-2.4492935982947064e-16,1.0,0,-323,6.0,7.0,8.0,6.0,150,1645,1186,657,2024-12-20,115
7.0,1126.0,0,0,1,37.93188677,23.66832578,13,0,0,0,0.0,0.0,-0.9506849315068493,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0,0.0,9999,0.0,0.5,6.0,2,0,1,1.0,-347,0,1,0,0.25,-0.5000000000000004,0.8660254037844384,0,-347,8.0,8.0,7.0,6.0,151,1647,1173,662,2024-11-26,116
5.0,686.0,0,1,0,37.93890114,23.66286065,2,0,0,13,5.923076923076923,-0.12307692307692353,-0.547945205479452,0.07692307692307693,0.5384615384615384,0.38461538461538464,88.84615384615384,0.8666666666666667,0.0,0.0,0,0.0,9999,0.0,0.5,7.0,4,0,1,1.0,-200,1,0,0,0.215,0.8660254037844387,-0.4999999999999998,0,-200,5.0,4.0,3.0,5.0,153,1748,1259,795,2025-04-22,117
9.0,1792.0,0,0,1,37.84600967,23.60749036,9,0,0,8,8.25,0.0,-0.7068493150684931,0.25,0.375,0.375,200.625,0.8,185.0,0.0,0,0.0,9999,0.0,0.5,6.5,3,0,1,1.0,-258,0,0,1,0.215,0.8660254037844386,0.5000000000000001,1,-258,9.0,9.0,9.0,10.0,154,1569,1281,557,2025-02-23,118
6.0,1070.0,0,1,0,38.01327775,23.7831526,6,0,0,7,6.142857142857143,0.0,-0.8410958904109589,0.5714285714285714,0.0,0.42857142857142855,159.28571428571428,0.7777777777777778,67.5,0.0,0,0.0,9999,0.0,0.5,10.0,2,0,1,1.0,-307,1,0,0,0.23,0.49999999999999994,0.8660254037844387,1,-307,6.0,5.0,4.0,7.0,155,1523,1215,492,2025-01-05,119
10.0,1753.0,1,0,0,37.98971174,23.76705728,12,0,0,0,0.0,0.0,-0.9041095890410958,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0,0.0,9999,0.0,0.5,9.0,2,0,1,1.0,-330,0,0,1,0.2,-2.4492935982947064e-16,1.0,0,-330,10.0,10.0,8.0,10.0,156,1492,1132,454,2024-12-13,120
7.0,2415.0,1,0,0,38.05384289,23.7287649,16,0,0,23,6.869565217391305,0.0304347826086957,-0.1917808219178082,0.17391304347826086,0.2608695652173913,0.5652173913043478,201.95652173913044,0.8214285714285714,0.0,0.0,0,0.0,9999,0.0,0.5,6.363636363636363,12,0,1,1.0,-70,0,1,0,0.25,-0.8660254037844384,-0.5000000000000004,1,-70,6.0,7.0,5.0,6.0,157,1587,1262,579,2025-08-30,121
9.0,1947.0,1,0,0,38.10092063,23.82195759,16,0,0,5,9.6,0.0,-0.7698630136986301,0.2,0.4,0.4,287.0,0.8333333333333334,282.5,0.0,0,0.0,9999,0.0,0.5,8.25,5,0,1,1.0,-281,0,0,1,0.25,0.49999999999999994,0.8660254037844387,0,-281,10.0,10.0,10.0,9.0,158,1462,1188,412,2025-01-31,122
5.0,2765.0,0,0,1,38.08272944,23.85200269,13,0,0,27,6.185185185185185,0.1148148148148147,-0.0958904109589041,0.37037037037037035,0.4444444444444444,0.18518518518518517,85.18518518518519,0.9642857142857143,0.0,0.03703703703703709,0,0.0,9999,0.0,0.5,8.181818181818182,16,0,1,1.0,-35,0,0,1,0.205,-0.8660254037844386,0.5000000000000001,1,-35,4.0,4.0,5.0,4.0,159,1375,1190,298,2025-10-04,123
7.0,3432.0,0,0,1,37.96735303,23.61452468,5,0,0,10,7.0,0.0,-0.8027397260273973,0.4,0.3,0.3,107.5,0.8333333333333334,0.0,0.0,0,0.0,9999,0.0,0.5,5.0,2,0,1,1.0,-293,0,0,1,0.25,0.49999999999999994,0.8660254037844387,1,-293,7.0,8.0,8.0,7.0,160,1780,1272,838,2025-01-19,124
7.0,1451.0,0,1,0,38.00138921,23.72845075,15,0,0,28,7.821428571428571,-0.121428571428571,-0.038356164383561646,0.32142857142857145,0.21428571428571427,0.4642857142857143,247.85714285714286,0.8235294117647058,20.0,0.0,0,0.0,9999,0.0,0.5,8.214285714285714,16,0,1,1.0,-14,0,1,0,0.25,-0.8660254037844386,0.5000000000000001,1,-14,8.0,7.0,5.0,7.0,161,1377,1309,300,2025-10-25,125
7.0,810.0,0,1,0,37.86332273,23.5989046,8,0,0,9,6.888888888888889,0.0,-0.3013698630136986,0.3333333333333333,0.4444444444444444,0.2222222222222222,148.88888888888889,0.8181818181818182,65.0,0.11111111111111116,0,0.0,9999,0.0,0.5,7.571428571428571,16,0,1,1.0,-110,1,0,0,0.23,-0.4999999999999997,-0.8660254037844388,0,-110,8.0,7.0,8.0,7.0,162,1816,1123,893,2025-07-21,126
9.0,560.0,0,1,0,37.94152788,23.60222555,11,0,0,16,7.9375,0.3625000000000007,-0.6356164383561644,0.3125,0.375,0.3125,133.125,0.9411764705882353,30.0,0.0,0,0.0,9999,0.0,0.5,7.0,5,0,1,1.0,-232,1,0,0,0.245,1.0,6.123233995736766e-17,0,-232,8.0,8.0,8.0,8.0,163,1815,1154,892,2025-03-21,127
8.0,1454.0,0,0,1,38.06069202,23.61169002,6,0,0,23,8.130434782608695,0.06956521739130395,-0.27123287671232876,0.30434782608695654,0.21739130434782608,0.4782608695652174,231.08695652173913,0.92,210.0,0.0,0,0.0,9999,0.0,0.5,6.5,8,0,1,1.0,-99,0,1,0,0.205,-0.8660254037844384,-0.5000000000000004,0,-99,7.0,8.0,9.0,8.0,164,1629,1223,636,2025-08-01,128
6.0,757.0,0,1,0,37.93912715,23.78137576,12,0,0,22,5.863636363636363,0.23636363636363633,-0.6027397260273972,0.18181818181818182,0.36363636363636365,0.45454545454545453,69.31818181818181,0.88,40.0,0.0,0,0.0,9999,0.0,0.5,7.0,4,0,1,1.0,-220,1,0,0,0.215,0.8660254037844387,-0.4999999999999998,0,-220,6.0,6.0,5.0,5.0,165,1395,1233,325,2025-04-02,129
6.0,1298.0,0,1,0,37.98015287,23.67252187,4,0,0,9,7.111111111111111,0.0,-0.31232876712328766,0.2222222222222222,0.1111111111111111,0.6666666666666666,166.66666666666666,0.8181818181818182,0.0,0.0,0,0.0,9999,0.0,0.5,7.5,6,0,1,1.0,-114,0,1,0,0.25,-0.4999999999999997,-0.8660254037844388,0,-114,6.0,7.0,4.0,6.0,166,1420,1142,362,2025-07-17,130
9.0,1234.0,0,1,0,37.88860068,23.80799141,8,0,0,6,8.166666666666666,0.0,-0.5972602739726027,0.16666666666666666,0.16666666666666666,0.6666666666666666,291.6666666666667,0.8571428571428571,162.5,0.0,0,0.0,9999,0.0,0.5,7.333333333333333,5,0,1,1.0,-218,0,1,0,0.25,0.8660254037844387,-0.4999999999999998,0,-218,10.0,10.0,10.0,8.0,167,1766,1128,819,2025-04-04,131
9.0,2916.0,1,0,0,38.02990259,23.68708903,11,0,0,14,9.642857142857142,0.05714285714285694,-0.4712328767123288,0.21428571428571427,0.2857142857142857,0.5,453.57142857142856,0.875,225.0,0.0,1,10.0,135,1.0,0.8,9.0,7,1,1,1.0,-172,0,0,1,0.21,0.49999999999999994,-0.8660254037844387,0,-172,9.0,10.0,10.0,10.0,168,1346,1231,265,2025-05-20,132
9.0,2932.0,1,0,0,38.10295259,23.77457953,10,0,0,3,8.333333333333334,0.0,-0.7150684931506849,0.3333333333333333,0.3333333333333333,0.3333333333333333,101.66666666666667,0.75,0.0,0.0,0,0.0,9999,0.0,0.5,8.666666666666666,5,0,1,1.0,-261,0,0,1,0.25,0.8660254037844386,0.5000000000000001,0,-261,9.0,10.0,9.0,10.0,169,1463,1232,413,2025-02-20,133
7.0,4730.0,0,0,1,37.94709972,23.7987537,5,0,0,10,6.8,0.0,-0.7506849315068493,0.1,0.3,0.6,191.0,0.9090909090909091,140.0,0.0,0,0.0,9999,0.0,0.5,7.0,2,0,1,1.0,-274,0,0,1,0.215,0.8660254037844386,0.5000000000000001,0,-274,7.0,8.0,7.0,7.0,170,1748,1262,796,2025-02-07,134
7.0,2244.0,0,0,1,38.04479949,23.83631294,2,0,0,22,7.136363636363637,-0.1363636363636367,-0.1506849315068493,0.3181818181818182,0.2727272727272727,0.4090909090909091,140.9090909090909,0.8461538461538461,20.0,0.0,0,0.0,9999,0.0,0.5,6.75,9,0,1,1.0,-55,0,0,1,0.215,-1.0,-1.8369701987210297e-16,1,-55,8.0,8.0,8.0,8.0,172,1665,1317,684,2025-09-14,135
5.0,1692.0,0,0,1,37.99368846,23.79333215,6,0,0,21,5.9523809523809526,0.34761904761904727,-0.46301369863013697,0.19047619047619047,0.2857142857142857,0.5238095238095238,122.85714285714286,0.875,126.66666666666667,0.09523809523809523,0,0.0,9999,0.0,0.5,7.0,5,0,1,1.0,-169,0,0,1,0.205,0.49999999999999994,-0.8660254037844387,0,-169,5.0,4.0,3.0,6.0,173,1466,1145,418,2025-05-23,136
8.0,1093.0,0,1,0,38.08323372,23.61867306,4,0,0,19,7.052631578947368,0.3473684210526322,-0.12054794520547946,0.10526315789473684,0.47368421052631576,0.42105263157894735,139.73684210526315,0.76,87.5,0.0,0,0.0,9999,0.0,0.5,6.0,7,0,1,1.0,-44,0,1,0,0.22,-1.0,-1.8369701987210297e-16,0,-44,7.0,7.0,8.0,8.0,174,1805,1158,877,2025-09-25,137
